id;title;netflix;hulu;hbo;amazonprime
1;Wings;;;;
2;The Racket;;;;
3;7th Heaven;;;;
4;The Broadway Melody;;;;
5;Alibi;;;;
6;Hollywood Revue;;;;
7;In Old Arizona;;;;
8;The Patriot;;;;
9;All Quiet on the Western Front;;;;
10;The Big House;;;;
11;Disraeli;;;;
12;The Divorcee;;;;
13;The Love Parade;;;;
14;Cimarron;;;;
15;East Lynne;;;;
16;The Front Page;;;;
17;Skippy;;;;
18;Trader Horn;;;;
19;Grand Hotel;;;;
20;Arrowsmith;;;;
21;Bad Girl;;;;
22;The Champ;;;;
23;Five Star Final;;;;
24;One Hour with You;;;;
25;Shanghai Express;;;;
26;The Smiling Lieutenant;;;;
27;Cavalcade;;;;
28;42nd Street;;;;
29;A Farewell to Arms;;;;
30;I Am a Fugitive from a Chain Gang;;;;
31;Lady for a Day;;;;
32;Little Women;;;;
33;The Private Life of Henry VIII;;;;
34;She Done Him Wrong;;;;
35;Smilin' Through;;;;
36;State Fair;;;;
37;It Happened One Night;;;;
38;The Barretts of Wimpole Street;;;;
39;Cleopatra;;;;
40;Flirtation Walk;;;;
41;The Gay Divorcee;;;;
42;Here Comes the Navy;;;;
43;The House of Rothschild;;;;
44;Imitation of Life;;;;
45;One Night of Love;;;;
46;The Thin Man;;;;
47;Viva Villa!;;;;
48;The White Parade;;;;
49;Mutiny on the Bounty;;;;
50;Alice Adams;;;;
51;Broadway Melody of 1936;;;;
52;Captain Blood;;;;
53;David Copperfield;;;;
54;The Informer;;;;
55;The Lives of a Bengal Lancer;;;;
56;A Midsummer Night's Dream;;;;
57;Les Misérables;;;;
58;Naughty Marietta;;;;
59;Ruggles of Red Gap;;;;
60;Top Hat;;;;
61;The Great Ziegfeld;;;;
62;Anthony Adverse;;;;
63;Dodsworth;;;;
64;Libeled Lady;;;;
65;Mr. Deeds Goes to Town;;;;
66;Romeo and Juliet;;;;
67;San Francisco;;;;
68;The Story of Louis Pasteur;;;;
69;A Tale of Two Cities;;;;
70;Three Smart Girls;;;;
71;The Life of Emile Zola;;;;
72;The Awful Truth;;;;
